date,0,1,2,3,4,total,mean
2000-10-30 01:14:00,0,0,0,1,0,1,0.2
2000-10-31 04:12:00,0,0,0,0,1,1,0.2
2000-10-31 04:27:00,1,0,0,0,0,1,0.2
2000-10-31 04:44:00,0,0,0,0,1,1,0.2
2000-10-31 07:00:00,0,0,0,1,0,1,0.2
2000-10-31 07:02:00,1,0,0,0,0,1,0.2
2000-11-01 03:34:00,1,0,0,0,0,1,0.2
2000-11-01 07:17:00,1,0,0,0,0,1,0.2
2000-11-01 08:05:00,1,0,0,0,0,1,0.2
2000-11-02 02:36:00,1,0,0,0,0,1,0.2
2000-11-02 05:26:00,1,0,0,0,0,1,0.2
2000-11-02 08:12:00,0,0,0,0,1,1,0.2
2000-11-03 05:57:00,0,0,0,1,0,1,0.2
2000-11-03 07:43:00,1,0,0,0,0,1,0.2
2000-11-13 05:25:00,0,0,1,0,0,1,0.2
2000-11-13 05:26:00,0,0,1,0,0,1,0.2
2000-11-14 06:33:00,0,0,0,1,0,1,0.2
2000-11-14 09:08:00,1,0,0,0,0,1,0.2
2000-11-15 08:10:00,0,1,0,0,0,1,0.2
2000-11-16 06:50:00,0,1,0,0,0,1,0.2
2000-11-16 06:51:00,0,1,0,0,0,1,0.2
2000-11-17 00:27:00,0,0,0,1,0,1,0.2
2000-11-17 04:04:00,0,0,0,1,0,1,0.2
2000-11-17 06:58:00,0,0,1,0,0,1,0.2
2000-11-21 03:23:00,1,0,0,0,0,1,0.2
2000-11-28 09:48:00,1,0,0,0,0,1,0.2
2000-11-29 02:02:00,0,0,0,1,0,1,0.2
2000-11-29 08:22:00,0,0,1,0,0,1,0.2
2000-12-04 06:23:00,0,0,1,0,0,1,0.2
2000-12-05 07:31:00,0,0,1,0,0,1,0.2
2000-12-06 04:41:00,1,0,0,0,0,1,0.2
2000-12-06 04:43:00,0,1,0,0,0,1,0.2
2000-12-06 08:04:00,2,0,0,0,0,2,0.4
2000-12-07 01:09:00,2,0,0,0,0,2,0.4
2000-12-07 01:55:00,0,0,0,1,0,1,0.2
2000-12-07 06:23:00,2,0,0,0,0,2,0.4
2000-12-11 06:10:00,0,0,2,0,0,2,0.4
2000-12-11 08:27:00,0,0,0,1,0,1,0.2
2000-12-12 03:25:00,1,0,0,0,0,1,0.2
2000-12-12 04:02:00,1,0,0,0,0,1,0.2
2000-12-12 04:03:00,0,0,0,2,0,2,0.4
2000-12-12 04:41:00,0,0,0,1,0,1,0.2
2000-12-12 04:53:00,1,0,0,0,0,1,0.2
2000-12-12 05:27:00,0,0,1,0,0,1,0.2
2000-12-12 23:04:00,1,0,0,0,0,1,0.2
2000-12-12 23:19:00,1,0,0,0,0,1,0.2
2000-12-12 23:38:00,1,0,0,0,0,1,0.2
2000-12-12 23:55:00,0,0,0,0,1,1,0.2
2000-12-13 02:17:00,0,0,0,0,1,1,0.2
2000-12-13 02:28:00,0,0,0,1,0,1,0.2
2000-12-13 02:33:00,0,0,0,1,0,1,0.2
2000-12-13 03:28:00,0,0,0,0,2,2,0.4
2000-12-13 05:09:00,1,0,0,0,0,1,0.2
2000-12-13 05:26:00,0,1,0,0,0,1,0.2
2000-12-13 05:40:00,0,1,0,0,0,1,0.2
2000-12-13 06:04:00,1,0,0,0,0,1,0.2
2000-12-13 06:06:00,1,0,0,0,0,1,0.2
2000-12-13 06:08:00,0,0,0,0,1,1,0.2
2000-12-13 06:34:00,0,0,0,0,1,1,0.2
2000-12-13 06:35:00,1,0,0,0,0,1,0.2
2000-12-13 07:04:00,0,0,2,0,0,2,0.4
2000-12-13 08:01:00,0,1,0,0,0,1,0.2
2000-12-13 08:04:00,1,0,0,0,0,1,0.2
2000-12-13 08:11:00,1,0,0,0,0,1,0.2
2000-12-13 08:35:00,1,0,0,0,0,1,0.2
2000-12-13 08:47:00,1,0,0,0,0,1,0.2
2000-12-13 08:50:00,1,0,0,0,0,1,0.2
2000-12-13 10:04:00,0,0,0,0,1,1,0.2
2000-12-13 13:28:00,0,0,0,0,1,1,0.2
2000-12-13 18:41:00,1,0,0,0,0,1,0.2
2000-12-14 02:08:00,1,0,0,0,0,1,0.2
2000-12-14 02:11:00,0,0,0,0,1,1,0.2
2000-12-14 03:15:00,0,0,0,1,0,1,0.2
2000-12-14 06:15:00,1,0,0,0,0,1,0.2
2000-12-14 06:33:00,1,0,0,0,0,1,0.2
2000-12-15 07:38:00,0,0,1,0,0,1,0.2
2000-12-18 05:26:00,0,0,0,0,1,1,0.2
2000-12-18 05:31:00,0,0,1,0,0,1,0.2
2000-12-18 06:08:00,0,0,0,1,0,1,0.2
2000-12-18 07:43:00,0,0,0,1,0,1,0.2
2000-12-18 12:22:00,1,0,0,0,0,1,0.2
2000-12-19 23:20:00,0,0,0,0,1,1,0.2
2000-12-20 07:51:00,1,0,0,0,0,1,0.2
2000-12-20 07:57:00,1,0,0,0,0,1,0.2
2000-12-22 01:21:00,0,0,1,0,0,1,0.2
2000-12-22 01:54:00,0,0,1,0,0,1,0.2
2000-12-22 07:06:00,0,1,0,0,0,1,0.2
2000-12-27 04:43:00,1,0,0,0,0,1,0.2
2000-12-27 08:00:00,0,0,0,1,0,1,0.2
2000-12-27 08:27:00,0,0,1,0,0,1,0.2
2000-12-28 04:18:00,0,0,0,1,0,1,0.2
2000-12-28 05:19:00,0,1,0,0,0,1,0.2
2000-12-29 02:14:00,0,0,0,1,0,1,0.2
2001-01-02 01:36:00,0,0,0,0,1,1,0.2
2001-01-04 04:01:00,1,0,0,0,0,1,0.2
2001-01-04 04:10:00,1,0,0,0,0,1,0.2
2001-01-04 06:41:00,1,0,0,0,0,1,0.2
2001-01-04 23:26:00,0,1,0,0,0,1,0.2
2001-01-05 03:43:00,1,0,0,0,0,1,0.2
2001-01-08 23:36:00,0,1,0,0,0,1,0.2
2001-01-09 03:06:00,0,1,0,0,0,1,0.2
2001-01-09 09:51:00,0,1,0,0,0,1,0.2
2001-01-10 22:57:00,0,0,0,0,1,1,0.2
2001-01-11 05:49:00,1,0,0,0,0,1,0.2
2001-01-11 06:18:00,1,0,0,0,0,1,0.2
2001-01-12 05:18:00,0,0,0,0,1,1,0.2
2001-01-12 05:34:00,0,0,0,1,0,1,0.2
2001-01-12 05:45:00,0,0,0,1,0,1,0.2
2001-01-12 05:46:00,0,0,1,0,0,1,0.2
2001-01-13 11:26:00,0,0,0,1,0,1,0.2
2001-01-15 23:18:00,0,0,0,0,1,1,0.2
2001-01-15 23:25:00,0,0,0,1,0,1,0.2
2001-01-17 07:35:00,1,0,0,0,0,1,0.2
2001-01-18 02:08:00,0,0,1,0,0,1,0.2
2001-01-18 02:12:00,1,0,0,0,0,1,0.2
2001-01-22 00:34:00,0,0,1,0,0,1,0.2
2001-01-22 00:38:00,0,0,0,1,0,1,0.2
2001-01-22 01:24:00,0,1,0,0,0,1,0.2
2001-01-22 06:06:00,1,0,0,0,0,1,0.2
2001-01-24 09:23:00,1,0,0,0,0,1,0.2
2001-01-24 23:40:00,0,0,1,0,0,1,0.2
2001-01-25 00:17:00,1,0,0,0,0,1,0.2
2001-01-25 02:11:00,0,0,1,0,0,1,0.2
2001-01-25 04:39:00,0,0,0,0,1,1,0.2
2001-01-25 04:45:00,0,0,0,1,0,1,0.2
2001-01-25 04:49:00,0,0,0,0,1,1,0.2
2001-01-26 01:41:00,0,1,0,0,0,1,0.2
2001-01-26 01:55:00,0,0,0,1,0,1,0.2
2001-01-26 01:57:00,0,0,1,0,0,1,0.2
2001-01-26 07:15:00,0,0,0,1,0,1,0.2
2001-01-29 04:15:00,0,1,0,0,0,1,0.2
2001-01-29 07:19:00,0,1,0,0,0,1,0.2
2001-01-29 07:26:00,1,0,0,0,0,1,0.2
2001-01-29 23:00:00,0,0,0,0,1,1,0.2
2001-01-30 03:17:00,0,0,0,1,0,1,0.2
2001-01-30 03:45:00,0,0,1,0,0,1,0.2
2001-01-30 23:14:00,0,0,0,1,0,1,0.2
2001-01-31 08:20:00,0,1,0,0,0,1,0.2
2001-01-31 08:51:00,1,0,0,0,0,1,0.2
2001-02-01 03:07:00,0,0,0,1,0,1,0.2
2001-02-01 04:03:00,1,0,0,0,0,1,0.2
2001-02-02 05:25:00,0,0,0,1,0,1,0.2
2001-02-02 06:54:00,0,0,1,0,0,1,0.2
2001-02-02 06:59:00,0,0,1,0,0,1,0.2
2001-02-02 07:00:00,0,0,0,1,0,1,0.2
2001-02-02 07:46:00,0,0,0,1,0,1,0.2
2001-02-02 08:40:00,0,1,0,0,0,1,0.2
2001-02-02 08:44:00,0,1,0,0,0,1,0.2
2001-02-05 00:45:00,0,0,0,1,0,1,0.2
2001-02-05 09:23:00,0,0,1,0,0,1,0.2
2001-02-06 01:01:00,0,1,0,0,0,1,0.2
2001-02-06 01:52:00,1,0,0,0,0,1,0.2
2001-02-06 05:27:00,0,0,1,0,0,1,0.2
2001-02-06 06:12:00,0,0,0,1,0,1,0.2
2001-02-06 23:15:00,0,0,0,1,0,1,0.2
2001-02-07 01:58:00,0,1,0,0,0,1,0.2
2001-02-07 06:54:00,0,0,1,0,0,1,0.2
2001-02-08 23:21:00,1,0,0,0,0,1,0.2
2001-02-09 01:27:00,1,0,0,0,0,1,0.2
2001-02-09 06:05:00,0,0,0,1,0,1,0.2
2001-02-12 03:09:00,0,0,0,1,0,1,0.2
2001-02-12 03:57:00,0,0,0,1,0,1,0.2
2001-02-12 04:18:00,1,0,0,0,0,1,0.2
2001-02-13 05:44:00,0,0,1,0,0,1,0.2
2001-02-13 05:45:00,0,0,0,0,1,1,0.2
2001-02-14 00:24:00,0,0,0,1,0,1,0.2
2001-02-14 03:04:00,1,0,0,0,0,1,0.2
2001-02-15 05:30:00,0,1,0,0,0,1,0.2
2001-02-15 05:33:00,1,0,0,0,0,1,0.2
2001-02-15 07:13:00,1,0,0,0,0,1,0.2
2001-02-15 07:58:00,0,1,0,0,0,1,0.2
2001-02-16 00:52:00,1,0,0,0,0,1,0.2
2001-02-16 01:48:00,0,0,0,0,1,1,0.2
2001-02-16 02:15:00,1,0,0,0,0,1,0.2
2001-02-17 06:18:00,0,0,1,0,0,1,0.2
2001-02-18 11:50:00,0,0,0,0,1,1,0.2
2001-02-18 11:52:00,1,0,0,0,0,1,0.2
2001-02-20 00:46:00,0,0,0,1,0,1,0.2
2001-02-20 01:09:00,0,0,1,0,0,1,0.2
2001-02-20 01:38:00,0,1,0,0,0,1,0.2
2001-02-20 04:08:00,0,1,0,0,0,1,0.2
2001-02-20 04:20:00,1,0,0,0,0,1,0.2
2001-02-20 23:02:00,0,0,0,0,1,1,0.2
2001-02-20 23:04:00,0,0,1,0,0,1,0.2
2001-02-21 03:05:00,0,0,0,1,0,1,0.2
2001-02-21 07:22:00,0,0,1,0,0,1,0.2
2001-02-21 07:31:00,0,0,0,1,0,1,0.2
2001-02-21 07:37:00,0,0,0,0,1,1,0.2
2001-02-21 07:57:00,1,1,0,0,0,2,0.4
2001-02-21 07:58:00,0,0,0,1,0,1,0.2
2001-02-21 08:26:00,0,0,0,1,0,1,0.2
2001-02-22 00:45:00,0,0,0,1,0,1,0.2
2001-02-23 03:15:00,0,0,1,0,0,1,0.2
2001-02-23 03:17:00,0,0,0,0,1,1,0.2
2001-02-23 06:28:00,1,0,0,0,0,1,0.2
2001-02-23 07:01:00,1,0,0,0,0,1,0.2
2001-02-23 08:24:00,0,0,1,0,0,1,0.2
2001-02-24 01:24:00,1,0,0,0,0,1,0.2
2001-02-27 00:58:00,0,0,0,1,0,1,0.2
2001-03-04 23:05:00,1,0,0,0,0,1,0.2
2001-03-05 01:38:00,0,0,1,0,0,1,0.2
2001-03-05 03:16:00,1,0,0,0,0,1,0.2
2001-03-05 05:54:00,1,0,0,0,0,1,0.2
2001-03-05 07:21:00,0,1,0,0,0,1,0.2
2001-03-05 22:56:00,0,1,0,0,0,1,0.2
2001-03-06 02:45:00,1,0,0,0,0,1,0.2
2001-03-06 02:55:00,0,0,0,1,0,1,0.2
2001-03-06 10:45:00,0,0,0,0,1,1,0.2
2001-03-07 01:52:00,1,0,0,0,0,1,0.2
2001-03-07 02:36:00,1,0,0,0,0,1,0.2
2001-03-07 04:09:00,0,0,0,0,1,1,0.2
